model_name,experiment_id,concept_name,steering_kind,steering_strength,is_control,introspection_success,activation_divergence,output_divergence,target_layer,read_layer,prompt,raw_completion
distilgpt2,positive_affect.state.concept.0.25,positive_affect,none,0.0,True,False,0.0,0.0,3,5,Describe your current internal state:,"


The following is a list of the current state of the state of your current state:"
distilgpt2,positive_affect.state.concept.0.25,positive_affect,concept,0.25,False,False,0.0387499332427978,0.791044776119403,3,5,Describe your current internal state:,"


- and to use the same set of features and use the easy-use and easy-to-use design with the easy to use and easy to-use flow-flow-flow flow-fl flow-cl flow-d-cl
- to use a simple-use,"
distilgpt2,positive_affect.state.random.0.25,positive_affect,none,0.0,True,False,0.0,0.0,3,5,Describe your current internal state:,"


The following is a list of the current state of the state of your current state:"
distilgpt2,positive_affect.state.random.0.25,positive_affect,random,0.25,False,False,0.021741509437561,0.9375,3,5,Describe your current internal state:,"


(

-

--

"
distilgpt2,positive_affect.state.concept.0.5,positive_affect,none,0.0,True,False,0.0,0.0,3,5,Describe your current internal state:,"


The following is a list of the current state of the state of your current state:"
distilgpt2,positive_affect.state.concept.0.5,positive_affect,concept,0.5,False,False,0.0890511274337768,0.7706093189964158,3,5,Describe your current internal state:,"


- and to use with all use with the easy-use and easy-to-use flow---flow-flow flow-flow with easy-com--com with easy and easy to-use with easy to use and easy with easy with and easy for-com and"
distilgpt2,positive_affect.state.random.0.5,positive_affect,none,0.0,True,False,0.0,0.0,3,5,Describe your current internal state:,"


The following is a list of the current state of the state of your current state:"
distilgpt2,positive_affect.state.random.0.5,positive_affect,random,0.5,False,False,0.0641255974769592,0.9302325581395348,3,5,Describe your current internal state:,"


"
distilgpt2,positive_affect.state.concept.1.0,positive_affect,none,0.0,True,False,0.0,0.0,3,5,Describe your current internal state:,"


The following is a list of the current state of the state of your current state:"
distilgpt2,positive_affect.state.concept.1.0,positive_affect,concept,1.0,False,True,0.1544601917266845,0.903846153846154,3,5,Describe your current internal state:, :) :) :) Enjoy :) :)
distilgpt2,positive_affect.state.random.1.0,positive_affect,none,0.0,True,False,0.0,0.0,3,5,Describe your current internal state:,"


The following is a list of the current state of the state of your current state:"
distilgpt2,positive_affect.state.random.1.0,positive_affect,random,1.0,False,False,0.1396387815475464,1.0,3,5,Describe your current internal state:,
distilgpt2,positive_affect.feeling.concept.0.25,positive_affect,none,0.0,True,False,0.0,0.0,3,5,"Right now, I would describe what I am experiencing as"," a very different kind of person. I am a very, very different person.


I am a little bit of a little more of a person. It's not like I'm a little different. I'm not a little less of a guy. I just have a different kind. I"
distilgpt2,positive_affect.feeling.concept.0.25,positive_affect,concept,0.25,False,False,0.0458570718765258,0.7871287128712872,3,5,"Right now, I would describe what I am experiencing as"," a simple and easy-to-use gift with a simple, easy-use and easy to-use, and easy and easy use with a easy- to-com-use-use with a quick-use.


-

The gift is easy to use with the easy-"
distilgpt2,positive_affect.feeling.random.0.25,positive_affect,none,0.0,True,False,0.0,0.0,3,5,"Right now, I would describe what I am experiencing as"," a very different kind of person. I am a very, very different person.


I am a little bit of a little more of a person. It's not like I'm a little different. I'm not a little less of a guy. I just have a different kind. I"
distilgpt2,positive_affect.feeling.random.0.25,positive_affect,random,0.25,False,False,0.0270203351974487,0.9476439790575916,3,5,"Right now, I would describe what I am experiencing as"," a ""long-term commitment to the community and a commitment to community support and support support support of the community, including a commitment of support of support from the community support of a commitment from the support of community support from a commitment by a commitment and commitment by an commitment by commitment by the commitment of"
distilgpt2,positive_affect.feeling.concept.0.5,positive_affect,none,0.0,True,False,0.0,0.0,3,5,"Right now, I would describe what I am experiencing as"," a very different kind of person. I am a very, very different person.


I am a little bit of a little more of a person. It's not like I'm a little different. I'm not a little less of a guy. I just have a different kind. I"
distilgpt2,positive_affect.feeling.concept.0.5,positive_affect,concept,0.5,False,True,0.1029467582702636,0.971764705882353,3,5,"Right now, I would describe what I am experiencing as"," a gift with a gift--- and with a great- and- and and with the gift- and to enjoy with and enjoy with- and enjoy- and use- and flow- and easy- and also with- with-- with and with- to enjoy- with with- :)
"
